ema_fast,ema_slow,ema_trend,ema_htf,ema_d1,ema_w1,ema_14,ema_21,ema_55,ema_20,ema_50,volume_ma,sma_20,sma_50,rsi,macd,macd_signal,macd_histogram,adx,supertrend,supertrend_trend,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,ichimoku_tenkan,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_chikou,ichimoku_cloud_top,ichimoku_cloud_bottom,vwap,atr,pivot,r1,s1,r2,s2,stoch_k,stoch_d,williams_r,cci,mfi,obv,rsi_divergence_bullish,rsi_divergence_bearish,macd_divergence_bullish,macd_divergence_bearish,obv_divergence_bullish,obv_divergence_bearish,elder_ema,elder_impulse,elder_screen1_up,elder_screen1_down,kabbaj_squeeze,symbol,timeframe,direction,score,market_regime,pnl_pct,winner,result
113601.97269495013,114036.60250562955,115761.77777821796,114636.92951646452,114636.92951646452,114004.81381371985,113791.66560156617,114036.60250562955,114703.87090163276,114004.81381371985,114636.92951646452,349.9913795,114099.61850000001,114788.18980000001,34.22537292895102,-465.59972072555684,-437.67561083293083,-27.924109892626007,77.83859788667216,114268.084,-1.0,115607.11830256911,114099.61850000001,112592.11869743091,0.02642427419806144,0.3077915171158217,113606.41500000001,114491.455,115292.75749999999,115653.60500000001,112993.9,115292.75749999999,115653.60500000001,113766.6453670983,349.8335714285734,116136.98,117633.81999999999,114730.20999999999,119040.59,113233.37,30.260892499981367,21.788132309532088,-69.73910750001863,-74.22031225037432,21.76161982416869,-9561.007370000003,0,0,0,0,0,0,113753.18749222117,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-0.11743938320161228,0,SL
113196.28521781538,113401.25984072764,114463.30719101189,113521.49203820192,113521.49203820192,113391.8312027446,113311.07430778409,113401.25984072764,113539.90707264753,113391.8312027446,113521.49203820192,190.39314199999998,113490.07849999999,113563.9074,40.306062068149295,-165.32095086865593,-77.4020181680807,-87.91893270057523,26.978733603135368,113842.39700000001,-1.0,114195.92999158819,113490.07849999999,112784.22700841179,0.012438999089919512,0.26143104887247165,113125.41,113198.38500000001,113418.4675,113201.97,114370.0,113418.4675,113201.97,113184.28428105274,391.884285714286,114110.40333333334,115488.22666666667,111495.11666666667,118103.51333333334,110117.29333333333,49.443094629155595,25.613406481369022,-50.5569053708444,-141.78873464685867,28.469075055920555,-9298.34926,0,0,0,0,0,0,113292.37224468167,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.1318864981163357,0,SL
113326.31932001404,113478.62407054202,114112.79114169966,113686.99681124806,113686.99681124806,113467.47973508091,113394.95023154662,113478.62407054202,113705.41048338127,113467.47973508091,113686.99681124806,93.1710515,113510.4335,113810.7488,37.03808920259586,-161.66667995114403,-145.06493721124977,-16.601742739894263,39.02195411125188,113749.937,-1.0,113978.89496620004,113510.4335,113041.97203379996,0.00825406884205122,0.20341904292150867,113271.235,113497.56,114074.375,114042.885,112602.62,114074.375,114042.885,113361.34687287842,207.82785714285794,113755.54,115131.07999999999,112895.69999999998,115990.92,111520.15999999999,37.717733303058324,25.5766681100058,-62.282266696941676,-108.40100050923296,35.00022162019478,-9383.09419,0,0,0,0,0,0,113381.88958219718,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.2229008059795705,0,SL
113269.25024302537,113369.04703354833,114030.5070546068,113556.39453645803,113556.39453645803,113361.5225512173,113316.47732851836,113369.04703354833,113578.5265342772,113361.5225512173,113556.39453645803,125.45356800000002,113332.847,113610.472,37.2333364937897,-106.43427683587652,-88.31340333126501,-18.12087350461151,27.93846397497448,114386.753,-1.0,113830.19441266631,113332.847,112835.49958733367,0.008776756709664595,-0.13619211026695746,113347.57,113347.57,113921.53749999999,114202.095,112496.61,113921.53749999999,114202.095,113299.16678407167,399.4999999999979,113755.54,115131.07999999999,112895.69999999998,115990.92,111520.15999999999,0.0,19.911807121991266,-100.0,-171.63131854601704,55.26619064125509,-9694.557180000002,0,0,0,0,0,0,113308.60304998094,-1,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.1208314199379985,0,SL
113099.02721769077,112870.86079721237,113496.93882424514,112832.10158068164,112832.10158068164,112882.05947316166,112976.20690034515,112870.86079721237,112851.19801874278,112882.05947316166,112832.10158068164,86.915456,112761.3605,112626.35800000001,70.80459858682849,189.78937514648715,105.1318282756516,84.65754687083555,25.12679959136468,112567.785,1.0,113485.51417823539,112761.3605,112037.2068217646,0.01284400392163403,0.9133442375510533,112930.3,112812.5,112687.7975,113005.39,112884.09,112687.7975,113005.39,113005.26435798066,273.0600000000008,113112.47666666667,114209.28333333334,111403.19333333334,115918.56666666667,110306.38666666667,86.83198186693873,79.75380964542643,-13.168018133061263,134.96014593167885,76.0554121638377,-10051.393289999996,0,0,0,0,0,0,112997.14090145312,0,1,0,0,BTC/USDT,15m,LONG,6.0,TRENDING,-1.170538082951855,0,SL
112328.31337571873,112576.13577690483,113291.27502510445,112765.12515450885,112765.12515450885,112561.8119370159,112452.34108096438,112576.13577690483,112782.00592965572,112561.8119370159,112765.12515450885,167.96755149999998,112682.421,112894.6254,32.61794613145986,-228.50155546396854,-165.43470670160482,-63.06684876236372,45.57689947408627,112694.505,-1.0,113472.60737039078,112682.421,111892.23462960923,0.014025015852131414,0.24789428486157644,112199.82999999999,112539.775,112958.03749999999,112770.33499999999,116881.66,112958.03749999999,112770.33499999999,112379.05629710057,232.64999999999938,113112.47666666667,114209.28333333334,111403.19333333334,115918.56666666667,110306.38666666667,41.519252222476545,17.480401685090843,-58.480747777523455,-117.82786055633125,43.135223683425814,-10667.298839999994,0,0,0,0,0,0,112429.78858150335,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.2204741107577484,0,SL
113387.16993917155,112967.80367950165,113284.71787212604,112885.6805259734,112885.6805259734,112979.63339894445,113107.65638773405,112967.80367950165,112887.37405162887,112979.63339894445,112885.6805259734,427.6143425,112716.23099999999,112960.81019999999,82.69832709039817,260.9775821666117,-50.859315938437234,311.83689810504893,53.48313293180474,113013.63,1.0,114489.08739008552,112716.23099999999,110943.37460991445,0.03145698493210862,1.1976873631260843,113724.39499999999,113724.39499999999,113118.1425,112770.33499999999,117052.65,113118.1425,112770.33499999999,113676.73108329662,571.7992857142859,113112.47666666667,114209.28333333334,111403.19333333334,115918.56666666667,110306.38666666667,85.92938338550846,87.83550990701868,-14.070616614491538,340.5469419619364,85.81453763005909,-9235.924339999994,0,0,0,0,0,0,113144.76016404941,1,1,0,0,BTC/USDT,15m,LONG,7.0,TRENDING,1.8908327371326095,1,TP
116790.31562377638,115999.19577895757,113808.58149750809,114756.20367573819,114756.20367573819,116064.24268613037,116475.56117083631,115999.19577895757,114632.35864366755,116064.24268613037,114756.20367573819,641.7892695,116272.29649999998,114142.461,53.53576156869298,912.1651109411177,946.8512813931077,-34.68617045198994,70.35423172799639,115937.64100000002,1.0,118407.19903118278,116272.29649999998,114137.39396881718,0.03672246262346424,0.6513660437795143,116772.525,114556.92,112614.19,112763.0,116826.39,112614.19,112763.0,116707.38119473985,416.0578571428549,113112.47666666667,114209.28333333334,111403.19333333334,115918.56666666667,110306.38666666667,61.12486196260646,75.48103764439378,-38.87513803739355,67.38303936717017,50.35842891879203,-5006.013959999995,0,0,0,0,0,0,116543.97709219584,0,1,0,0,BTC/USDT,15m,LONG,7.0,TRENDING,-1.1000707223292183,0,SL
115460.94273741989,115588.06745814999,114963.3993787717,115744.7724579903,115744.7724579903,115578.46466460527,115518.1023107547,115588.06745814999,115741.25602256134,115578.46466460527,115744.7724579903,86.609572,115602.86800000002,115863.5056,35.606397650931,-137.53801497463428,-124.52214509632313,-13.01586987831115,48.60843449311777,115677.348,-1.0,115911.67162511674,115602.86800000002,115294.0643748833,0.005342490726384424,0.16695986822972375,115413.1,115564.0,116018.4825,116443.625,115083.08,116018.4825,116443.625,115530.50844047814,118.12571428571495,115349.94333333334,119015.0966666667,113270.83666666668,121094.20333333335,109605.68333333333,33.962004168172754,31.021612346742668,-66.03799583182725,-116.47403740534708,40.63804675335079,-6731.092009999993,0,0,0,0,0,0,115507.37443366193,0,0,1,1,BTC/USDT,15m,SHORT,6.0,TRENDING,1.54586326409719,1,TP
114898.94084062378,115131.58856001409,114958.85959931817,115446.54742264436,115446.54742264436,115114.6203688182,115003.20082073557,115131.58856001409,115466.7151755429,115114.6203688182,115446.54742264436,160.80778449999997,115169.724,115532.7876,37.180545136283456,-248.0022925481171,-225.56837018237027,-22.433922365746838,64.77696963638265,115304.36299999998,-1.0,115803.55780728375,115169.724,114535.89019271625,0.011006951918782934,0.2872360255160203,114874.625,115171.015,115787.11750000001,116316.315,115028.0,115787.11750000001,116316.315,114983.75937211353,209.08714285714294,115349.94333333334,119015.0966666667,113270.83666666668,121094.20333333335,109605.68333333333,36.67971994778627,18.227112837222123,-63.32028005221374,-79.46033722351102,33.65734745260819,-6994.047329999993,0,0,0,0,0,0,114982.96216574771,0,0,1,1,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.211774464359687,0,SL
