symbol,direction,pnl,winner,score,result,sig_adx,sig_dist_ema_atr,sig_rsi,sig_bb_percent,sig_macd_hist_slope,sig_vol_ratio,sig_atr_rank,sig_donchian_pos
BTC/USDT,LONG,208.7651826657906,1,8.0,TP,37.057207865892394,3.6867816493600154,66.77499092496234,1.110538165689696,0.5150294683476483,2.9429992854752953,0.51,0.8796177478524729
BTC/USDT,LONG,-107.16056078954652,0,8.0,SL,62.23954123299582,4.273122333962076,63.62589659410938,0.8058127137048594,0.10712492793234803,2.288726452616242,0.54,0.846449506022218
BTC/USDT,SHORT,-106.01405855247953,0,6.0,SL,33.92313450445998,-0.9161492598196044,39.908287197319886,0.3435047632281933,0.1441627980777091,1.7013064807065403,0.49,0.4234746301278733
BTC/USDT,SHORT,5.627390670072332,1,8.0,BREAK_EVEN,28.138044989081692,-1.9866199325690972,32.949456742767865,-0.06445341740610673,-0.10069966526453765,2.5122600631233163,0.99,0.12400003268534662
BTC/USDT,LONG,-104.87912034743833,0,6.0,SL,35.68881372738684,2.3447824723599724,53.77803875513805,0.7129278088954265,-0.08692367198792064,0.42926959861485614,0.0,0.7638891857044167
BTC/USDT,LONG,7.142331080815918,1,7.0,BREAK_EVEN,26.198780579799035,0.6408926853095963,50.365372421307924,0.6465207481396662,0.020803346031175004,2.2810809738565294,0.78,0.6293707193985272
BTC/USDT,SHORT,206.01675771427324,1,8.0,TP,33.8206343280074,-3.10281668717479,14.685292533814774,-0.07640186530873928,-0.22806662971772165,2.336331932491132,0.71,0.12020904211949866
BTC/USDT,SHORT,4.878191334140252,1,7.0,TP,40.11380136827406,-2.153492945809227,35.200619237247736,0.34483385112439374,0.22694385749662616,1.2945954177629317,0.99,0.4480509433414893
BTC/USDT,SHORT,-105.70447727413767,0,7.0,SL,44.534801355400205,-2.8460954157969023,38.247665250900525,0.0984858488518796,-0.09298626007862758,1.30167157084911,0.99,0.3112837534016561
BTC/USDT,SHORT,207.55457343230887,1,5.0,TP,26.408196957705233,-0.5115781579730871,46.22049053719648,0.27783401442740835,-0.01891186562512832,0.6835506188042656,0.18,0.3379895212751259
BTC/USDT,SHORT,-106.5999909754348,0,7.0,SL,28.08400106955053,-1.2584832344924617,36.173871429556414,0.2790039681762845,0.005717222744536811,1.3569960971700967,0.45,0.40975969658721667
BTC/USDT,SHORT,-105.46347709733865,0,8.0,SL,40.80634884625413,-0.9467808107043721,45.98242642388306,0.251697867122109,-0.12460684858847439,2.375212302227472,0.6,0.3029204066873681
BTC/USDT,SHORT,-104.36334294920505,0,8.0,SL,47.403731195548644,-4.451681401945625,12.787820903766047,-0.14043152936651315,-0.13673155101412532,3.1588005054338657,0.43,0.0037231453342270564
BTC/USDT,SHORT,-103.23104599040323,0,7.0,SL,69.33646124811789,-2.278669996671573,34.78104244061697,0.2684622230875529,0.15707793396653777,0.6891419398165045,0.54,0.2203027228529595
BTC/USDT,LONG,203.4138286074623,1,6.0,TP,38.769686444443906,0.9343078998611287,62.6854726688556,0.6742402190961806,-0.07003177641583504,0.5728385297024712,0.96,0.5644946808510638
BTC/USDT,LONG,207.30441940789623,1,7.0,TP,39.89531835337912,2.9581788178372683,59.80505417485912,0.7842017594302402,-0.11367836406234672,0.6923005203341404,0.47,0.7960911179173045
BTC/USDT,LONG,-106.14721478479693,0,7.0,SL,29.00624895569835,1.4251878672930027,60.50179277543754,0.646599352672289,-0.19588977018717474,0.645017065655347,0.71,0.5321266504950682
BTC/USDT,SHORT,-105.00850748642867,0,6.0,SL,28.79641290901918,-1.322677696424974,26.88016745159598,0.1054637347206325,-0.03330564140643223,0.6060177264410866,0.72,0.10232013177035104
BTC/USDT,SHORT,206.36652773560508,1,6.0,TP,25.891368201187472,-1.4767491297169093,32.946851849167146,0.3084791853172909,0.19899515929411662,3.130330822753711,0.69,0.3670072340248617
BTC/USDT,SHORT,-105.88617621308757,0,7.0,SL,39.74530733746483,-3.5818635013405498,39.026377088691085,0.10655141236167451,-0.1056316999974095,0.6619240821442257,0.81,0.0750106729537732
BTC/USDT,LONG,-104.75775104300686,0,8.0,SL,38.02837328902467,3.9682580964116743,86.96310013855484,1.1284595955444177,0.2645374466060824,3.7746938325711237,0.96,0.9278623664283043
BTC/USDT,SHORT,205.94089508922863,1,6.0,TP,40.17993855956534,-0.7823645128083871,40.68605240912936,0.1456156387562179,0.04973558153229264,0.7049251105844637,0.83,0.19905282771470997
BTC/USDT,SHORT,-105.62333429955353,0,7.0,SL,48.63219279929488,-2.130976069638162,34.828612069623134,0.33142723635508775,0.17924433209362758,2.077715830258347,0.45,0.34390551427104926
BTC/USDT,LONG,-104.48181096033368,0,7.0,SL,65.33012164500231,2.6827914152882006,67.41755507242557,0.6230548608416727,-0.28184091719505144,0.7267162966942244,0.64,0.6519655576100403
